Genes	0	4	8	12	16	20	24	28	32	36	40	44
1110036E04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02RIK	4.83919	5.80187	5.07484	4.79154	5.20964	5.3866	5.14918	4.30114	5.29428	5.72832	6.66203	5.93949
1110038B12RIK	18.4134	17.6123	23.2135	22.8101	19.6617	15.721	20.211	20.9342	17.2268	19.1924	15.4312	17.4725
1110038F14RIK	10.8764	10.2933	10.2652	10.4167	9.55327	8.32438	11.3777	12.9934	10.8496	9.20975	8.44904	9.15133
1110046J04RIK	3.68449	2.48912	2.29319	2.67482	2.76394	2.8785	2.81603	3.65558	3.67711	1.57255	2.58249	2.52138
1110051M20RIK	47.3656	50.4224	46.354	47.4169	43.73	40.7813	43.6708	61.2343	45.8678	43.5298	50.6051	44.2516
1110058D11RIK	0	0	0	0	0	0	0.0971473	0	0	0.0736977	0	0
1110059E24RIK	19.879	20.2586	22.0016	22.7252	18.3902	17.5155	16.7381	21.9484	20.2734	19.5842	17.9526	19.1647
1110059G10RIK	2.94807	2.96305	3.01354	3.52191	3.34251	2.38111	3.00677	3.86878	3.1883	2.66589	2.49992	2.48187
1110065P20RIK	46.6682	40.6163	45.8969	50.0008	42.9357	38.2938	40.8217	49.7929	42.8988	38.009	34.5187	38.3524
1190002F15RIK	0.247383	0	0	0.139683	0.28526	0.0549521	0.318624	0	0.0488334	0.226607	0	0.131296
1190002N15RIK	7.30981	8.04427	8.64337	8.53117	7.87178	7.46362	7.2522	6.90689	7.26057	8.33317	9.21751	7.43238
1190003K10RIK	0	0	0.0252365	0.0145924	0	0	0	0	0.0204092	0	0	0
1190005I06RIK	11.0983	11.4442	12.2947	12.6304	7.90902	8.02309	12.9558	15.2153	9.89616	10.2817	6.14128	8.5227
1190007I07RIK	7.8212	9.9032	10.9018	8.25689	7.83762	8.94355	7.60709	12.0648	9.86769	9.60507	6.92582	9.63812
1200014J11RIK	3.44519	3.53282	3.33086	3.35586	3.55186	3.39878	3.46733	3.19132	3.91594	3.76942	3.99934	3.80122
1300002E11RIK	3.92666	3.90498	6.00966	4.37621	3.70497	4.23813	4.49916	4.78967	4.4722	3.54468	3.50705	3.67042
1300017J02RIK	5.68624	1.06658	0.0757674	0.0500693	0.0511256	0.0591017	0.321217	0.0988401	0.0962884	0.495485	0.0642716	0.149033
1500004A13RIK	7.52481	7.89379	6.06401	5.9869	10.4756	9.64259	8.05852	6.19829	6.76953	7.56649	10.7407	9.57496
1500009C09RIK	111.41	89.1053	103.079	109.817	92.8113	89.2575	97.1484	111.443	94.2129	84.9607	86.1068	86.8128
1500009L16RIK	20.2157	18.6133	21.583	19.8047	16.4143	17.3856	17.6682	21.5727	18.2454	18.2277	20.4256	17.7173
1500011B03RIK	88.6915	87.5426	89.3439	86.8059	79.8321	72.5223	81.216	107.776	80.5314	82.4233	87.5122	79.948
1500011K16RIK	37.8457	29.9765	37.628	35.0189	33.5735	25.7249	29.7582	34.5223	29.8574	26.6704	26.7665	27.187
1500012F01RIK	72.0239	61.1484	89.8262	93.8109	69.0491	67.059	68.0614	75.0451	62.8895	66.1981	48.1997	65.0641
1500012K07RIK	0	0	0.224	0.0647614	0.0529021	0	0.113243	0.191765	0.0452883	0.168099	0.0415655	0.162328
1500015A07RIK	1.19045	1.66498	1.93298	1.68045	1.78773	1.58688	2.0414	2.26812	1.42112	1.47087	1.35447	1.54771
1500015L24RIK	0.363756	0.540158	0.631486	0.410784	0.447414	0.897942	0.390424	0.540609	0.925633	0.918166	0.761661	0.62923
1500015O10RIK	2.13176	1.29637	0.693894	1.77686	1.93531	0.270633	1.80865	1.01835	1.28266	1.98372	1.12817	0.93386
1500017E21RIK	1.97864	2.05395	2.04153	1.73907	1.59281	1.75006	2.17579	2.12225	1.88688	2.01081	2.02266	1.6974
1500026H17RIK	0.785688	0.981475	1.09944	1.02905	0.874229	1.08692	0.918056	0.902846	0.882736	0.961581	0.816045	0.945763
1600002D24RIK	0.069634	0.136492	0.0815979	0.070773	0.0642365	0.0618817	0.161436	0.0620935	0.0109983	0.0816458	0.0908478	0.0689873
1600002H07RIK	2.01316	1.7198	2.09307	2.15976	2.27224	1.81008	2.50902	2.45515	3.03939	2.16951	1.92264	2.11179
1600002K03RIK	3.49192	3.25049	4.1733	4.32594	4.61553	5.14107	5.94074	5.28647	3.95125	3.70471	4.07976	4.27826
1600010M07RIK	0.283185	0.0504617	0.221226	0.0959389	0.261234	0.100663	0.218841	0.252519	0.178909	0	0.123152	0.120238
1600012H06RIK	3.97246	4.58072	5.45623	5.30792	4.75582	4.93478	5.85304	5.30808	5.04379	4.99882	4.80742	4.81499
1600014C10RIK	14.5638	14.5762	13.3716	14.0859	15.2785	12.8322	13.1681	13.1866	14.5506	14.6701	16.6453	14.3548
1600014C23RIK	0.299177	0.466476	0.219112	0.253392	0.0689969	0.531741	0.770667	0.250107	0.236267	0.602912	0.271056	0.264642
1600014K23RIK	0.036425	0	0	0	0	0.0323699	0	0	0	0.0533854	0	0
1600015I10RIK	0.0100645	0.00896716	0	0	0.00928439	0	0	0	0	0	0	0
1600019K03RIK	0	0	0.084351	0	0	0	0	0	0.0682162	0	0	0
1600020E01RIK	7.72034	7.85619	10.9861	9.351	8.55962	9.1712	12.0163	11.8711	7.12099	10.4279	7.21127	9.0019
1600023N17RIK	0.431014	0.793641	0.505067	0.859904	0.397605	0.714989	0.777191	0.704625	0.635377	0.673818	0.853896	0.793021
1600025M17RIK	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07RIK	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14RIK	1.17769	0.69501	1.26512	0.692792	0.747566	0.540708	1.3524	1.08766	0.889186	0.866434	0.89162	1.43337
1600029O15RIK	0.587091	0.65066	0.643215	0.41235	0.290606	0.687158	0.534845	0.422963	0.508871	0.755521	0.591586	0.55732
1700001C02RIK	3.75197	3.38365	4.24469	3.10028	1.43511	1.7078	2.82875	3.21308	2.38486	2.74949	1.98984	3.30267
1700001C19RIK	0.437951	0.0578097	0.0791928	0.091583	0	0.0576528	0.0130562	0.0723128	0.0960673	0.044572	0	0
1700001D01RIK	0	0	0	0	0	0	0	0.0722588	0	0	0	0
1700001F09RIK	0.0170448	0.0668202	0.0815578	0.107792	0.0707565	0.0833099	0.0439067	0.0265984	0.00673033	0.18736	0.02965	0
1700001G01RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11RIK	0.944627	1.0246	0.641695	0.579757	0.530421	0.583974	0.449634	0.686687	0.648688	0.511651	0.744206	0.755658
1700001G17RIK	0.236512	0.361242	0.824843	0.133545	0.529864	0.330285	0.718037	0.301287	0.400239	0.495197	0.318361	0.860751
1700001J03RIK	0.121252	0.198058	0.355211	0.068464	0.0745689	0.107753	0.0520565	0.0901016	0.127673	0.133282	0.0585893	0.143007
1700001J11RIK	0.0709513	0.0225769	0	0.0143079	0.074802	0.018015	0.0359007	0.0225958	0.00667044	0.0148554	0.0330595	0.0394498
1700001K19RIK	0.92479	1.31833	1.02348	0.992135	1.16591	1.20536	1.19111	1.16825	1.46065	1.33281	1.00544	1.527
1700001K23RIK	0	0	0	0.0468278	0.15301	0.0737006	0.0534082	0.0924411	0.130989	0.0607747	0.180332	0.0586881
1700001L05RIK	0.398779	0.559332	0.574478	0.472629	0.316877	0.378944	0.432253	0.602929	0.704681	0.561313	0.394921	0.483367
1700001L19RIK	10.1587	8.69367	9.20653	7.70202	6.70135	6.60849	7.16957	9.327	7.51338	7.82245	7.97583	7.8682
1700001O22RIK	1.12827	1.28068	1.2094	1.64722	1.10001	1.17999	1.39793	1.0391	2.58032	1.28838	0.99653	0.841816
1700001P01RIK	0.333218	0.0989622	0.0542318	0.156791	0.204926	0.148061	0.357648	0.185709	0.263149	0.0813954	0.40253	0.0786008
1700003C15RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09RIK	0.0194304	0.103871	0.0379479	0.175539	0.412258	0.0345344	1.11365	0.173263	0.0306891	0.071194	0.0422497	0.0549998
1700003E16RIK	14.7306	10.841	12.3435	12.3007	11.741	10.2713	13.9571	9.13883	10.0217	10.1748	10.4514	12.7397
1700003E24RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12RIK	2.67853	2.81683	3.73046	3.34714	1.7823	2.10718	3.08227	3.52399	2.56609	3.15345	2.67342	2.33049
1700003G13RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18RIK	0	0.0499666	0	0.0316659	0	0	0	0	0	0	0.0406479	0
1700003H04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19RIK	0	0	0	0.0483794	0	0	0	0	0	0	0	0.0303163
1700003M02RIK	2.11348	2.22172	1.91536	1.46809	1.31848	1.06746	1.99753	1.71175	1.12872	1.77163	1.97269	2.13044
1700003M07RIK	14.3844	12.3386	14.5812	16.3198	11.9754	13.4271	13.8746	13.1389	11.7615	11.1167	10.2102	11.7348
1700003P14RIK	0	0	0	0	0	0	0	0	0.0461969	0	0	0
1700006A11RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21RIK	0	0	0	0	0	0	0	0	0.0881446	0	0	0
1700007B14RIK	0.012487	0.0111255	0.121954	0.0282062	0.046082	0.0665899	0.0160843	0.0556809	0.0197242	0.00915065	0.0543111	0.0176744
1700007F19RIK	0.0319838	0.0284966	0	0.00902972	0.0295047	0.0142116	0.0308958	0	0	0.0117191	0	0
1700007G11RIK	2.15	1.50734	1.61764	1.21398	1.07296	0.751727	1.70234	1.61075	1.30822	1.57554	1.55833	2.49418
1700007J10RIK	0.025441	0.0680013	0	0.100555	0.031292	0.0226087	0.0327674	0.0378101	0.0937592	0.0932173	0.0368795	0
1700007K09RIK	0	0.087864	0.1926	0.139208	0	0.131456	0.0635078	0.329766	0.233638	0.39747	0.0714776	0.174465
1700007K13RIK	15.8816	6.95448	7.84858	8.55285	9.48186	7.79504	12.9399	9.90636	6.53038	7.67385	10.3627	11.1292
1700007L15RIK	1.32558	0.647672	0.876879	0.651901	0.355015	0.684002	0.715971	1.85885	0.94553	0.846058	0.309931	1.14987
1700007P06RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07RIK	0.906426	0.899368	0.653792	1.05851	0.598619	0.89705	0.902124	0.895528	0.780898	0.875589	0.925747	0.728902
1700008K24RIK	0.154826	0.212565	0.113388	0.0527708	0.0890501	0.0857857	0.0310823	0	0.0916984	0.113456	0.180448	0
1700008O03RIK	1.6689	1.13707	1.31015	1.2934	0.965986	1.0469	1.22227	1.459	1.05954	1.24697	0.758981	1.04206
1700008P02RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05RIK	0.0397843	0	0	0	0	0.0707103	0.0768619	0	0.0314185	0	0.0288359	0
1700009J07RIK	0	0.029031	0	0.0367962	0.090174	0.0579122	0.0419669	0	0	0	0	0.0230579
1700009N14RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08RIK	0.0334415	0.0595906	0.0979678	0	0.0308494	0	0	0	0	0.0245063	0	0
1700010D01RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14RIK	1.29026	0.782691	1.25995	0.961044	1.36752	1.15881	1.10493	1.17808	1.3875	1.0964	1.37293	1.21417
1700010J16RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23RIK	1.81265	2.11194	1.22544	1.49589	2.31529	2.72606	1.6163	1.5542	1.43149	2.04359	3.53721	1.67741
1700011A15RIK	0	0	0	0	0	0.0294173	0	0	0	0	0	0
1700011B04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700011C11RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24RIK	0	0	0	0.0610209	0	0.0960386	0	0.0803061	0.085345	0.0527966	0	0.0764759
1700011H14RIK	0.0478973	0.0640125	0.0233861	0.0405673	0	0	0.046268	0.0266942	0	0.0350997	0	0.0338946
1700011I03RIK	0.151477	0.323906	0.384588	0.547393	0.111788	0.215381	0.136569	0.303916	0.334948	0.355213	0.153707	0.471648
1700011L22RIK	0	0	0	0.0337206	0	0	0.0384591	0	0	0.0218818	0	0
1700011M02RIK	0	0.0980777	0	0	0.101547	0	0	0	0.173865	0	0	0.311593
1700012A03RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09RIK	8.31953	5.21456	7.65177	5.10723	4.37277	3.78263	5.26423	5.82276	5.38596	5.35229	4.27712	6.50345
1700012C14RIK	0.0800305	0.142609	0.234452	0.406698	0.51679	0.0711208	0.103077	0.446027	0.316009	0.175942	0.290032	0.0566338
1700012D01RIK	0.899978	0.548635	0.786328	1.06982	0.699132	0.294657	0.854111	0.63357	0.561104	0.833071	0.377652	0.73743
1700012D14RIK	0.438959	0.586648	0.321486	0.340801	0.455552	0.341329	0.176678	0.305801	0.779975	0.562931	0.31816	0.427117
1700012D16RIK	0	0	0.0608872	0	0	0	0	0	0	0	0	0
1700012H19RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04RIK	0.03656	0.0162869	0	0.06193	0.00613202	0.0324898	0.033711	0.101878	0.00524948	0.0133958	0.105995	0.0258717
1700012P22RIK	0	0.053629	0	0	0	0	0	0.0335462	0.0237674	0.0220547	0	0
1700013D24RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07RIK	3.5528	1.82415	2.88132	1.87006	1.99978	1.71242	2.28796	2.48345	2.66306	3.04481	2.53144	4.30388
1700013G24RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16RIK	0	0.0402706	0	0.0382817	0	0	0.0145537	0.0251902	0	0	0.0327602	0.0159925
1700015E13RIK	0.182657	0.162742	0.133775	0	0.0842497	0.405806	0.382295	0.152698	0.108186	0.334634	0.132391	0.129258
1700015F17RIK	0.0459396	0	0.0448605	0.0778184	0.254273	0.0816504	0.147923	0.0512062	0.362795	0.302986	0.0665945	0.195056
1700015G11RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15RIK	0	0.0379564	0.124802	0.144327	0	0.075717	0	0.0949702	0.0336431	0.0312187	0.12351	0.0602937
1700016D06RIK	0	0.0775516	0	0.0491476	0.0602214	0	0.028027	0.0727654	0	0.0318927	0.126177	0.0461966
1700016G22RIK	0	0	0	0	0	0	0	0	0	0	0	0.0425007
1700016H13RIK	0	0	0	0.0224631	0.0366993	0	0	0	0.0314174	0	0	0
1700016K19RIK	5.12962	2.78819	2.99287	2.69602	1.51782	1.77755	3.32419	2.2655	1.85988	2.29326	2.43188	3.85829
1700016L04RIK	0.0983113	0	0	0.0370072	0.120921	0.0291221	0	0.0365273	0.051759	0.0480291	0.0475043	0.0927603
1700016L21RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05RIK	2.42111	2.92075	2.6574	3.00206	2.55506	2.71958	2.93746	2.64469	3.83164	2.76068	2.86037	2.79953
1700017D01RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19RIK	0	0	0	0.0115954	0	0	0	0	0	0.00752445	0	0.0145322
1700017J07RIK	0.0880433	0	0.17195	0.099426	0	0.234725	0.0566989	0	0.208589	0.193558	0	0
1700017L05RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19RIK	0.0618898	0.0551418	0.015109	0.0262092	0.0856389	0.0274998	0.0298922	0.0517387	0.232159	0.0226768	0.0336435	0.0218982
1700018A04RIK	0	0	0	0.0257327	0.0420409	0	0.0586974	0	0	0	0.0330318	0
1700018B08RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700018B24RIK	0	0	0	0	0	0	0	0.0242119	0	0	0	0
1700018C11RIK	0.0498457	0	0.0486748	0	0	0	0	0.0555601	0	0	0	0
1700018F24RIK	0.0378248	0.0224671	0	0	0	0	0.0324783	0	0.039828	0	0.018277	0.0178445
1700018G05RIK	0	0	0.239081	0.138243	0.112928	0.217576	0.236504	0	0.580048	0.269124	0.266184	0.519769
1700018L02RIK	4.75085	2.89409	3.84087	3.95518	3.85262	3.90775	3.64293	3.4236	3.26323	3.93488	3.25125	3.14303
1700019A02RIK	0	0	0.0538394	0	0	0	0.106518	0.122911	0	0	0.0399618	0.0390161
1700019B03RIK	0.0652921	0.0727164	0.111577	0.0368667	0.0451734	0.072529	0.0946065	0.0727773	0.0128906	0.0598085	0.070986	0.161714
1700019B21RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700019C18RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03RIK	1.80205	2.91624	2.01111	2.94872	3.73185	3.66042	2.65257	1.88566	4.15318	4.58155	3.27867	3.14903
1700019E08RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700019G17RIK	10.3942	7.98998	7.1612	7.06316	7.35045	8.68713	9.73561	8.4871	5.90211	5.70689	6.67944	7.06539
1700019G24RIK	1.81286	1.2787	1.47523	0.980965	0.278723	0.939769	0.972882	1.26293	1.01409	0.885655	1.14972	1.12251
1700019L03RIK	1.71942	1.15593	1.37375	1.23564	0.793074	0.694546	1.87232	1.41127	1.19739	1.16838	1.24625	1.96893
1700019M22RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19RIK	0	0.0286633	0.0314153	0.127156	0.267096	0.0285894	0.0621532	0	0	0	0.116588	0.0455317
1700019O17RIK	0	0.0270044	0.0147985	0	0	0	0	0.0168919	0.0119678	0	0	0
1700020A23RIK	0.0933842	0.124799	0.59275	0.325271	0.215356	0.186908	0.30068	0.364316	0.221236	0.342153	0.364161	0.62777
1700020D05RIK	0.255082	0.404035	0.525857	0.256054	0.287601	0.780801	0.32854	0.252733	0.895305	0.64386	0.513569	0.862434
1700020D14RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700020G17RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14RIK	15.5885	18.2201	15.2276	11.582	20.5747	20.3489	11.568	7.16749	20.6244	17.5061	19.4021	17.7433
1700020L24RIK	0.922573	1.70066	1.0873	1.36518	1.23257	1.13085	1.39312	1.63116	1.65814	1.16564	1.45266	0.923011
1700020M21RIK	0	0.0948165	0	0	0	0	0	0	0.0840418	0	0	0
1700020N01RIK	0	0	0.026307	0.0456341	0	0.0239406	0	0.0300282	0	0.0592255	0.0390522	0.019064
1700020N15RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18RIK	0	0	0.133418	0.154291	0.189055	0	0	0	0.323691	0	0.0495139	0
1700021F05RIK	18.3058	17.4091	18.755	20.3336	16.5793	15.0233	18.1448	26.4254	19.1963	16.0048	17.7392	15.5969
1700021F07RIK	0	0	0	0.150573	0.0492	0	0.0343465	0	0	0	0	0
1700021K19RIK	15.8952	15.9439	14.8761	15.412	17.5124	16.735	16.8351	13.3715	15.487	17.1684	18.3522	16.635
1700021N21RIK	0.462098	0.235265	0.322316	0.316832	0.21314	0.293323	0.403866	0.515073	0.260663	0.411195	0.143542	0.233575
1700022A21RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01RIK	0.339303	0.647804	1.04133	0.602125	0.626006	0.646134	0.280938	0.648345	0.382793	0.284166	0.386459	0.480217
1700022H16RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11RIK	0.0130139	0.0463799	0	0.0183705	0	0.0231302	0.0125712	0.0290117	0	0.0429154	0.0141488	0.0184186
1700023C21RIK	0	0	0.252511	0	0	0	0	0	0	0	0	0
1700023F02RIK	0	0	0.167003	0	0	0	0	0	0.270117	0.125326	0	0
1700023F06RIK	3.75386	4.27361	3.82407	3.58498	3.03537	3.00647	4.93934	4.59746	3.58668	3.39614	3.00633	3.47631
1700024B18RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13RIK	0.100128	0.57987	0.537767	0.254414	0.692751	0.578375	0.741534	0.279017	0.197683	0.2935	0.580586	0.566846
1700024G13RIK	7.26123	4.16681	3.48524	2.84915	2.38417	1.85929	2.06067	5.48723	4.37365	4.23885	2.58688	4.3546
1700024I08RIK	0	0	0	0.0236145	0	0	0.0269329	0	0	0	0	0
1700024N05RIK	0	0	0	0	0	0	0	0	0.0377975	0	0	0
1700024P04RIK	0	0	0	0	0	0	0.111678	0	0	0	0	0
1700024P16RIK	0.273751	0.202066	0.140675	0.0948992	0.081211	0.156471	0.0927724	0.12489	0.0741033	0.258059	0.141698	0.177101
1700025B11RIK	0	0.0599692	0	0	0	0	0	0.0750242	0	0	0	0
1700025C18RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24RIK	0.0335396	0.0298827	0.0982552	0.132565	0	0.0298057	0.0647973	0.149538	0.0529738	0.0737347	0.0243097	0.0237344
1700025G04RIK	9.89374	10.604	10.3493	9.713	9.84524	10.0848	8.68301	6.88547	9.10194	11.1414	11.4208	10.1349
1700025J12RIK	0	0.0487703	0	0	0	0.0486446	0	0	0	0	0	0.0387359
1700025K24RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24RIK	0.0630384	0	0	0	0	0.0560204	0	0	0	0	0	0
1700025N23RIK	0	0	0	0	0	0	0.0213486	0	0	0.0485863	0	0
1700026D08RIK	5.60127	5.2542	5.07752	4.1533	3.35374	2.14134	5.33586	4.28792	3.73906	4.47642	4.13642	4.84624
1700026D11RIK	0	0	0	0	0	0	0.0231986	0	0	0	0	0
1700026F02RIK	0	0	0	0	0.234622	0	0	0	0	0	0	0
1700026J14RIK	0.275139	0.38522	0.614116	0.155355	0.507625	0.244508	0.506246	0.569551	0.465606	0.230429	0.48431	0.250332
1700026L06RIK	1.29599	1.02145	1.50892	1.15395	0.735713	0.531557	1.1877	1.16676	1.18093	0.986243	0.469669	1.30512
1700027A15RIK	0	0	0.109601	0.197394	0	0	0	0	0	0	0	0
1700027F06RIK	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09RIK	0	0	0	0	0	0	0	0	0	0	0	0
