Genes	0	4	8	12	16	20	24	28	32	36	40	44	48	52	56	60	64	68
1110008P14RIK	45.7079	43.1064	44.7848	46.3046	43.6828	37.4666	42.2161	57.7677	46.6128	37.6398	40.0235	35.5835	39.2667	45.2824	35.6878	43.1124	44.3414	34.1007
1110012L19RIK	12.4239	11.9616	13.0043	13.052	10.7119	10.7281	11.2431	13.9387	13.2529	10.8499	12.9875	12.8525	11.5408	11.6585	11.4069	10.0094	11.9975	11.2232
1110015O18RIK	1.41957	1.37276	1.87647	1.55422	1.88445	1.69229	1.07026	1.13849	1.59956	1.86488	1.78177	1.6416	1.42758	1.24894	1.39942	1.50871	1.6094	1.95768
1110017D15RIK	15.4418	10.7938	11.5353	11.3283	8.76902	7.117	14.7425	13.0425	6.79227	8.83762	8.46822	12.4847	9.36878	11.3469	9.294	6.6499	8.30144	8.35724
1110019D14RIK	0.87137	0.665454	0.625152	0.903697	1.09911	0.837574	1.28263	1.11002	0.631964	0.768867	1.03114	1.13258	0.966521	0.97808	0.881676	0.879606	0.988975	1.16509
1110020A21RIK	1.41658	0.928479	0.928287	0.503026	0.751783	0.772924	0.901563	1.15353	0.845458	0.96759	0.569037	0.582787	0.735693	0.99412	1.07696	0.855998	0.474784	1.03264
1110025L11RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11RIK	0.0275166	0.0326885	0.00895674	0.00517901	0	0.00815107	0.0118136	0.0306711	0	0.0067215	0	0.00649073	0.0257853	0.0393099	0.0197719	0	0.0228401	0.0164639
1110028F18RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03RIK	17.4059	16.131	16.613	16.276	13.3694	13.2288	15.2051	17.1446	14.459	13.5771	13.3549	14.183	14.277	15.4293	14.2076	12.5566	13.7828	14.1052
1110032F04RIK	2.29051	2.78992	2.42546	3.0232	2.54091	2.29317	2.12235	2.14374	2.15232	2.40091	2.85101	2.66044	2.54488	2.00198	2.08333	2.37503	2.45476	1.93427
1110034G24RIK	3.57841	3.39864	4.31029	4.06156	4.75886	3.98714	4.80777	4.94025	3.29933	3.52746	3.73907	3.702	4.4086	4.54118	3.60236	3.72225	4.25184	3.83108
1110036E04RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02RIK	4.83919	5.80187	5.07484	4.79154	5.20964	5.3866	5.14918	4.30114	5.29428	5.72832	6.66203	5.93949	5.32929	5.21685	4.55531	5.43253	5.88081	5.57679
1110038B12RIK	18.4134	17.6123	23.2135	22.8101	19.6617	15.721	20.211	20.9342	17.2268	19.1924	15.4312	17.4725	14.4204	17.7151	21.4057	13.8455	15.0935	17.7056
1110038F14RIK	10.8764	10.2933	10.2652	10.4167	9.55327	8.32438	11.3777	12.9934	10.8496	9.20975	8.44904	9.15133	9.19234	9.64611	8.97435	9.02966	9.09273	8.80397
1110046J04RIK	3.68449	2.48912	2.29319	2.67482	2.76394	2.8785	2.81603	3.65558	3.67711	1.57255	2.58249	2.52138	2.69383	2.42936	2.13834	2.16165	2.5878	3.23411
1110051M20RIK	47.3656	50.4224	46.354	47.4169	43.73	40.7813	43.6708	61.2343	45.8678	43.5298	50.6051	44.2516	40.723	50.8419	40.8132	37.3303	48.2531	42.8469
1110058D11RIK	0	0	0	0	0	0	0.0971473	0	0	0.0736977	0	0	0	0.0359177	0.0541971	0.118439	0	0.0451295
1110059E24RIK	19.879	20.2586	22.0016	22.7252	18.3902	17.5155	16.7381	21.9484	20.2734	19.5842	17.9526	19.1647	17.4475	19.3446	19.6421	16.9661	20.294	19.968
1110059G10RIK	2.94807	2.96305	3.01354	3.52191	3.34251	2.38111	3.00677	3.86878	3.1883	2.66589	2.49992	2.48187	2.36792	2.93047	3.14617	3.05005	2.89306	2.97822
1110065P20RIK	46.6682	40.6163	45.8969	50.0008	42.9357	38.2938	40.8217	49.7929	42.8988	38.009	34.5187	38.3524	38.7818	38.4449	44.3821	32.983	38.1845	36.1354
1190002F15RIK	0.247383	0	0	0.139683	0.28526	0.0549521	0.318624	0	0.0488334	0.226607	0	0.131296	0	0.0441693	0.133307	0	0.153997	0.055506
1190002N15RIK	7.30981	8.04427	8.64337	8.53117	7.87178	7.46362	7.2522	6.90689	7.26057	8.33317	9.21751	7.43238	8.43767	7.19192	7.95115	7.79467	8.4285	7.91648
1190003K10RIK	0	0	0.0252365	0.0145924	0	0	0	0	0.0204092	0	0	0	0	0	0	0	0.0429029	0.069583
1190005I06RIK	11.0983	11.4442	12.2947	12.6304	7.90902	8.02309	12.9558	15.2153	9.89616	10.2817	6.14128	8.5227	9.04244	10.8314	13.3211	8.32702	8.3682	9.65794
1190007I07RIK	7.8212	9.9032	10.9018	8.25689	7.83762	8.94355	7.60709	12.0648	9.86769	9.60507	6.92582	9.63812	8.1158	10.208	9.35228	7.36427	9.1275	6.00887
1200014J11RIK	3.44519	3.53282	3.33086	3.35586	3.55186	3.39878	3.46733	3.19132	3.91594	3.76942	3.99934	3.80122	3.50453	3.62755	3.52422	3.82591	3.6054	4.07857
1300002E11RIK	3.92666	3.90498	6.00966	4.37621	3.70497	4.23813	4.49916	4.78967	4.4722	3.54468	3.50705	3.67042	4.58539	4.14325	4.09597	4.83588	4.2782	4.58486
1300017J02RIK	5.68624	1.06658	0.0757674	0.0500693	0.0511256	0.0591017	0.321217	0.0988401	0.0962884	0.495485	0.0642716	0.149033	0.0623212	0.0316698	0.0955746	0.121836	0.165609	0.0795842
1500004A13RIK	7.52481	7.89379	6.06401	5.9869	10.4756	9.64259	8.05852	6.19829	6.76953	7.56649	10.7407	9.57496	9.57842	6.91164	6.21349	7.57604	9.36478	9.47702
1500009C09RIK	111.41	89.1053	103.079	109.817	92.8113	89.2575	97.1484	111.443	94.2129	84.9607	86.1068	86.8128	84.8444	90.419	97.073	75.4148	94.9003	89.4516
1500009L16RIK	20.2157	18.6133	21.583	19.8047	16.4143	17.3856	17.6682	21.5727	18.2454	18.2277	20.4256	17.7173	17.2632	19.1812	19.9814	14.7382	22.6569	18.4778
1500011B03RIK	88.6915	87.5426	89.3439	86.8059	79.8321	72.5223	81.216	107.776	80.5314	82.4233	87.5122	79.948	74.8459	89.3441	75.613	63.6189	85.0787	75.3016
1500011K16RIK	37.8457	29.9765	37.628	35.0189	33.5735	25.7249	29.7582	34.5223	29.8574	26.6704	26.7665	27.187	26.4105	29.4608	31.8588	25.3662	31.6991	29.1334
1500012F01RIK	72.0239	61.1484	89.8262	93.8109	69.0491	67.059	68.0614	75.0451	62.8895	66.1981	48.1997	65.0641	62.3161	60.8594	78.2848	48.899	56.9675	67.5682
1500012K07RIK	0	0	0.224	0.0647614	0.0529021	0	0.113243	0.191765	0.0452883	0.168099	0.0415655	0.162328	0	0.0409628	0.0618098	0	0.190404	0.102937
1500015A07RIK	1.19045	1.66498	1.93298	1.68045	1.78773	1.58688	2.0414	2.26812	1.42112	1.47087	1.35447	1.54771	1.53064	1.99729	1.61132	1.90192	1.30985	1.45355
1500015L24RIK	0.363756	0.540158	0.631486	0.410784	0.447414	0.897942	0.390424	0.540609	0.925633	0.918166	0.761661	0.62923	0.643862	0.837225	0.871248	0.761587	0.40258	1.59606
1500015O10RIK	2.13176	1.29637	0.693894	1.77686	1.93531	0.270633	1.80865	1.01835	1.28266	1.98372	1.12817	0.93386	1.01467	1.25683	0.984704	1.64714	1.34816	1.39696
1500017E21RIK	1.97864	2.05395	2.04153	1.73907	1.59281	1.75006	2.17579	2.12225	1.88688	2.01081	2.02266	1.6974	2.25646	1.95999	1.85094	2.2423	2.29312	1.75068
1500026H17RIK	0.785688	0.981475	1.09944	1.02905	0.874229	1.08692	0.918056	0.902846	0.882736	0.961581	0.816045	0.945763	0.880467	0.937282	0.838097	0.705899	0.739563	0.923233
1600002D24RIK	0.069634	0.136492	0.0815979	0.070773	0.0642365	0.0618817	0.161436	0.0620935	0.0109983	0.0816458	0.0908478	0.0689873	0.0652526	0.119374	0.150105	0.131212	0.0462397	0.174988
1600002H07RIK	2.01316	1.7198	2.09307	2.15976	2.27224	1.81008	2.50902	2.45515	3.03939	2.16951	1.92264	2.11179	2.18611	2.51225	1.64651	2.21283	1.8971	1.93433
1600002K03RIK	3.49192	3.25049	4.1733	4.32594	4.61553	5.14107	5.94074	5.28647	3.95125	3.70471	4.07976	4.27826	4.10247	5.43525	3.70747	4.21471	4.75868	4.20979
1600010M07RIK	0.283185	0.0504617	0.221226	0.0959389	0.261234	0.100663	0.218841	0.252519	0.178909	0	0.123152	0.120238	0.15922	0.161822	0.122088	0.400206	0.188046	0.304986
1600012H06RIK	3.97246	4.58072	5.45623	5.30792	4.75582	4.93478	5.85304	5.30808	5.04379	4.99882	4.80742	4.81499	4.95059	5.45848	4.42148	5.28345	5.24392	5.08221
1600014C10RIK	14.5638	14.5762	13.3716	14.0859	15.2785	12.8322	13.1681	13.1866	14.5506	14.6701	16.6453	14.3548	12.5736	14.0062	12.4442	12.2639	15.1295	13.4947
1600014C23RIK	0.299177	0.466476	0.219112	0.253392	0.0689969	0.531741	0.770667	0.250107	0.236267	0.602912	0.271056	0.264642	0.84106	0.801377	0.403073	0.352339	0.434581	0.134254
1600014K23RIK	0.036425	0	0	0	0	0.0323699	0	0	0	0.0533854	0	0	0	0	0	0.0571967	0	0
1600015I10RIK	0.0100645	0.00896716	0	0	0.00928439	0	0	0	0	0	0	0	0	0	0	0.0395097	0.00835405	0.00903279
1600019K03RIK	0	0	0.084351	0	0	0	0	0	0.0682162	0	0	0	0	0	0	0	0	0
1600020E01RIK	7.72034	7.85619	10.9861	9.351	8.55962	9.1712	12.0163	11.8711	7.12099	10.4279	7.21127	9.0019	6.88298	10.2751	7.66181	8.35533	8.34292	10.01
1600023N17RIK	0.431014	0.793641	0.505067	0.859904	0.397605	0.714989	0.777191	0.704625	0.635377	0.673818	0.853896	0.793021	0.861642	0.779939	0.805227	0.428642	0.596272	0.438408
1600025M17RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14RIK	1.17769	0.69501	1.26512	0.692792	0.747566	0.540708	1.3524	1.08766	0.889186	0.866434	0.89162	1.43337	0.803852	1.51342	0.116839	0.401392	0.320332	0.617905
1600029O15RIK	0.587091	0.65066	0.643215	0.41235	0.290606	0.687158	0.534845	0.422963	0.508871	0.755521	0.591586	0.55732	0.630662	0.588121	0.524741	0.303547	0.677487	0.398394
1700001C02RIK	3.75197	3.38365	4.24469	3.10028	1.43511	1.7078	2.82875	3.21308	2.38486	2.74949	1.98984	3.30267	2.14384	4.34685	1.23291	1.0418	1.4812	2.9567
1700001C19RIK	0.437951	0.0578097	0.0791928	0.091583	0	0.0576528	0.0130562	0.0723128	0.0960673	0.044572	0	0	0.0189983	0.0434457	0.0699237	0.0159176	0.0168284	0.0181956
1700001D01RIK	0	0	0	0	0	0	0	0.0722588	0	0	0	0	0	0	0	0	0	0
1700001F09RIK	0.0170448	0.0668202	0.0815578	0.107792	0.0707565	0.0833099	0.0439067	0.0265984	0.00673033	0.18736	0.02965	0	0.0830564	0.0645276	0.123087	0.273001	0.0834736	0.130029
1700001G01RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11RIK	0.944627	1.0246	0.641695	0.579757	0.530421	0.583974	0.449634	0.686687	0.648688	0.511651	0.744206	0.755658	0.731245	0.264029	0.619734	0.38695	0.47727	0.479187
1700001G17RIK	0.236512	0.361242	0.824843	0.133545	0.529864	0.330285	0.718037	0.301287	0.400239	0.495197	0.318361	0.860751	0.791538	0.748159	0.728333	0.159165	0.308498	0.515505
1700001J03RIK	0.121252	0.198058	0.355211	0.068464	0.0745689	0.107753	0.0520565	0.0901016	0.127673	0.133282	0.0585893	0.143007	0.151497	0.433047	0	0.0634656	0.134193	0.0362741
1700001J11RIK	0.0709513	0.0225769	0	0.0143079	0.074802	0.018015	0.0359007	0.0225958	0.00667044	0.0148554	0.0330595	0.0394498	0.142472	0.01086	0.0218493	0.0344846	0.0168266	0.0272906
1700001K19RIK	0.92479	1.31833	1.02348	0.992135	1.16591	1.20536	1.19111	1.16825	1.46065	1.33281	1.00544	1.527	1.76209	1.3872	1.32901	1.62158	0.895559	1.35565
1700001K23RIK	0	0	0	0.0468278	0.15301	0.0737006	0.0534082	0.0924411	0.130989	0.0607747	0.180332	0.0586881	0.0777154	0	0.178774	0.130227	0.0688389	0.297728
1700001L05RIK	0.398779	0.559332	0.574478	0.472629	0.316877	0.378944	0.432253	0.602929	0.704681	0.561313	0.394921	0.483367	0.425486	0.544308	0.536199	0.542487	0.43588	0.5776
1700001L19RIK	10.1587	8.69367	9.20653	7.70202	6.70135	6.60849	7.16957	9.327	7.51338	7.82245	7.97583	7.8682	7.98891	8.79152	7.73706	5.36603	7.87328	7.77998
1700001O22RIK	1.12827	1.28068	1.2094	1.64722	1.10001	1.17999	1.39793	1.0391	2.58032	1.28838	0.99653	0.841816	0.874063	1.77026	1.47443	1.57515	0.838514	0.8886
1700001P01RIK	0.333218	0.0989622	0.0542318	0.156791	0.204926	0.148061	0.357648	0.185709	0.263149	0.0813954	0.40253	0.0786008	0.364294	0.436362	0.179574	0.261619	0.276588	0.348903
1700003C15RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09RIK	0.0194304	0.103871	0.0379479	0.175539	0.412258	0.0345344	1.11365	0.173263	0.0306891	0.071194	0.0422497	0.0549998	0.0910391	0.166548	0.272251	1.80013	0.0806408	0.279017
1700003E16RIK	14.7306	10.841	12.3435	12.3007	11.741	10.2713	13.9571	9.13883	10.0217	10.1748	10.4514	12.7397	11.3788	10.5842	11.3043	8.16614	11.1841	11.6015
1700003E24RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12RIK	2.67853	2.81683	3.73046	3.34714	1.7823	2.10718	3.08227	3.52399	2.56609	3.15345	2.67342	2.33049	2.34541	3.5756	2.27171	1.96509	2.91582	1.69459
1700003G13RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18RIK	0	0.0499666	0	0.0316659	0	0	0	0	0	0	0.0406479	0	0.0525526	0	0	0	0.0465502	0.0503323
1700003H04RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19RIK	0	0	0	0.0483794	0	0	0	0	0	0	0	0.0303163	0	0	0.0461744	0	0	0
1700003M02RIK	2.11348	2.22172	1.91536	1.46809	1.31848	1.06746	1.99753	1.71175	1.12872	1.77163	1.97269	2.13044	1.66704	2.45454	0.983286	0.966964	1.43878	1.92412
1700003M07RIK	14.3844	12.3386	14.5812	16.3198	11.9754	13.4271	13.8746	13.1389	11.7615	11.1167	10.2102	11.7348	12.456	12.9386	17.1319	10.7063	12.4715	11.7454
1700003P14RIK	0	0	0	0	0	0	0	0	0.0461969	0	0	0	0	0	0	0	0	0
1700006A11RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21RIK	0	0	0	0	0	0	0	0	0.0881446	0	0	0	0	0	0	0.043816	0	0
1700007B14RIK	0.012487	0.0111255	0.121954	0.0282062	0.046082	0.0665899	0.0160843	0.0556809	0.0197242	0.00915065	0.0543111	0.0176744	0.0117014	0.0713651	0	0.0588313	0.0103649	0.0672506
1700007F19RIK	0.0319838	0.0284966	0	0.00902972	0.0295047	0.0142116	0.0308958	0	0	0.0117191	0	0	0	0	0	0.125557	0	0
1700007G11RIK	2.15	1.50734	1.61764	1.21398	1.07296	0.751727	1.70234	1.61075	1.30822	1.57554	1.55833	2.49418	1.32113	1.86302	0.607816	0.968538	1.17023	1.6449
1700007J10RIK	0.025441	0.0680013	0	0.100555	0.031292	0.0226087	0.0327674	0.0378101	0.0937592	0.0932173	0.0368795	0	0.0476805	0.0908617	0	0.0798978	0.0281564	0.159831
1700007K09RIK	0	0.087864	0.1926	0.139208	0	0.131456	0.0635078	0.329766	0.233638	0.39747	0.0714776	0.174465	0.0462057	0.105662	0.10629	0.11614	0.0409282	0.177014
1700007K13RIK	15.8816	6.95448	7.84858	8.55285	9.48186	7.79504	12.9399	9.90636	6.53038	7.67385	10.3627	11.1292	10.7906	10.0468	5.78909	5.40023	8.62795	7.4909
1700007L15RIK	1.32558	0.647672	0.876879	0.651901	0.355015	0.684002	0.715971	1.85885	0.94553	0.846058	0.309931	1.14987	0.560982	0.488698	1.10611	0.436444	0.603388	0.575658
1700007P06RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07RIK	0.906426	0.899368	0.653792	1.05851	0.598619	0.89705	0.902124	0.895528	0.780898	0.875589	0.925747	0.728902	1.06174	0.853462	1.16569	0.719748	0.760928	0.804262
1700008K24RIK	0.154826	0.212565	0.113388	0.0527708	0.0890501	0.0857857	0.0310823	0	0.0916984	0.113456	0.180448	0	0.116661	0.137907	0.104044	0.122166	0.0321246	0.0864626
1700008O03RIK	1.6689	1.13707	1.31015	1.2934	0.965986	1.0469	1.22227	1.459	1.05954	1.24697	0.758981	1.04206	0.919937	1.21546	1.0581	0.899227	0.923513	1.14539
1700008P02RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05RIK	0.0397843	0	0	0	0	0.0707103	0.0768619	0	0.0314185	0	0.0288359	0	0	0	0	0	0	0
1700009J07RIK	0	0.029031	0	0.0367962	0.090174	0.0579122	0.0419669	0	0	0	0	0.0230579	0.0610669	0.0232743	0	0	0	0
1700009N14RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08RIK	0.0334415	0.0595906	0.0979678	0	0.0308494	0	0	0	0	0.0245063	0	0	0	0	0	0	0	0
1700010D01RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028091	0	0	0	0.070591
1700010I02RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14RIK	1.29026	0.782691	1.25995	0.961044	1.36752	1.15881	1.10493	1.17808	1.3875	1.0964	1.37293	1.21417	1.38915	1.3138	0.932037	0.840589	1.26466	1.18263
1700010J16RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23RIK	1.81265	2.11194	1.22544	1.49589	2.31529	2.72606	1.6163	1.5542	1.43149	2.04359	3.53721	1.67741	1.30662	1.49396	2.70513	2.40844	1.73607	1.5017
1700011A15RIK	0	0	0	0	0	0.0294173	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011C11RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24RIK	0	0	0	0.0610209	0	0.0960386	0	0.0803061	0.085345	0.0527966	0	0.0764759	0	0	0.0388265	0	0	0.064661
1700011H14RIK	0.0478973	0.0640125	0.0233861	0.0405673	0	0	0.046268	0.0266942	0	0.0350997	0	0.0338946	0	0	0.0774368	0	0.0397572	0.064481
1700011I03RIK	0.151477	0.323906	0.384588	0.547393	0.111788	0.215381	0.136569	0.303916	0.334948	0.355213	0.153707	0.471648	0.170335	0.259677	0.359181	0.333	0.402346	0.299087
1700011L22RIK	0	0	0	0.0337206	0	0	0.0384591	0	0	0.0218818	0	0	0.0279813	0.0426578	0.0643674	0	0	0.0267991
1700011M02RIK	0	0.0980777	0	0	0.101547	0	0	0	0.173865	0	0	0.311593	0.103154	0.0786295	0	0	0	0
1700012A03RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350692	0	0	0
1700012B07RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09RIK	8.31953	5.21456	7.65177	5.10723	4.37277	3.78263	5.26423	5.82276	5.38596	5.35229	4.27712	6.50345	4.7139	6.39174	4.43133	3.26595	4.21564	7.03257
1700012C14RIK	0.0800305	0.142609	0.234452	0.406698	0.51679	0.0711208	0.103077	0.446027	0.316009	0.175942	0.290032	0.0566338	0.074995	0.171496	0	0.125669	0.664293	0.646438
1700012D01RIK	0.899978	0.548635	0.786328	1.06982	0.699132	0.294657	0.854111	0.63357	0.561104	0.833071	0.377652	0.73743	0.221935	1.08269	0.408426	0.59503	1.29747	0.722697
1700012D14RIK	0.438959	0.586648	0.321486	0.340801	0.455552	0.341329	0.176678	0.305801	0.779975	0.562931	0.31816	0.427117	0.719845	0.548706	0.473118	0.34464	0.592082	0.541697
1700012D16RIK	0	0	0.0608872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012H19RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0894267	0	0	0
1700012L04RIK	0.03656	0.0162869	0	0.06193	0.00613202	0.0324898	0.033711	0.101878	0.00524948	0.0133958	0.105995	0.0258717	0.0342596	0.0449751	0	0.00717607	0.18208	0
1700012P22RIK	0	0.053629	0	0	0	0	0	0.0335462	0.0237674	0.0220547	0	0	0.0282023	0	0	0	0	0.0540215
1700013D24RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07RIK	3.5528	1.82415	2.88132	1.87006	1.99978	1.71242	2.28796	2.48345	2.66306	3.04481	2.53144	4.30388	2.70855	3.57005	1.94709	1.37106	2.6491	3.45882
1700013G24RIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16RIK	0	0.0402706	0	0.0382817	0	0	0.0145537	0.0251902	0	0	0.0327602	0.0159925	0	0	0.0243579	0.0354868	0	0.0405653
1700015E13RIK	0.182657	0.162742	0.133775	0	0.0842497	0.405806	0.382295	0.152698	0.108186	0.334634	0.132391	0.129258	0.256747	0.391413	0.0984356	0.537786	0.265326	0.0819665
