CycID	BH.Q	ADJ.P	PER	LAG	AMP
1600020E01RIK	1	1	20	6	1.35494387197404
1600023N17RIK	1	1	28	18	0.130820588150456
1600025M17RIK	1	1	0	0	0
1600027J07RIK	1	1	0	0	0
1600029I14RIK	1	0.558904371091871	20	6	0.215553016963345
1600029O15RIK	1	1	28	26	0.119595798329206
1700001C02RIK	1	0.377646329365079	24	4	0.65651329099265
1700001C19RIK	1	0.468275350228475	28	4	0.0400693371267856
1700001D01RIK	1	1	0	0	0
1700001F09RIK	1	1	28	14	0.0277210076632382
1700001G01RIK	1	1	0	0	0
1700001G11RIK	1	1	28	4	0.214347753454812
1700001G17RIK	1	1	20	6	0.133058404336216
1700001J03RIK	1	1	28	4	0.0735234074728586
1700001J11RIK	1	0.0968455387205387	24	22	0.0182189456285264
1700001K19RIK	1	1	28	26	0.116013241822324
1700001K23RIK	1	0.96845441017316	24	18	0.038194761694521
1700001L05RIK	1	0.0324589646464646	24	8	0.12199094577378
1700001L19RIK	1	1	28	4	1.48233622967261
1700001O22RIK	1	0.805264174482925	24	10	0.145011337365394
1700001P01RIK	1	1	28	22	0.11565480939494
1700003C15RIK	1	1	0	0	0
1700003D09RIK	1	1	28	18	0.175791660195105
1700003E16RIK	1	1	28	0	1.15611958724
1700003E24RIK	1	1	0	0	0
1700003F12RIK	1	0.0968455387205387	24	8	0.525412158226758
1700003G13RIK	1	1	0	0	0
1700003G18RIK	1	1	0	0	0
1700003H04RIK	1	1	0	0	0
1700003I22RIK	1	1	0	0	0
1700003L19RIK	1	1	0	0	0
1700003M02RIK	1	0.0572696458633959	20	4	0.339609244868275
1700003M07RIK	1	1	24	6	0.843366257921195
1700003P14RIK	1	1	0	0	0
1700006A11RIK	1	1	0	0	0
1700006E09RIK	1	1	0	0	0
1700006F04RIK	1	1	0	0	0
1700006H21RIK	1	1	0	0	0
1700007B14RIK	1	1	28	14	0.0351070031577747
1700007F19RIK	1	1	20	0	0.0184536485113378
1700007G11RIK	1	0.805264174482925	20	6	0.218792980234742
1700007J10RIK	1	0.127242364117364	24	10	0.0305555866169807
1700007K09RIK	1	0.96845441017316	20	10	0.0984349207954169
1700007K13RIK	1	0.377646329365079	24	22	2.09976242556822
1700007L15RIK	1	0.558904371091871	28	2	0.183011609339749
1700007P06RIK	1	1	0	0	0
1700008C04RIK	1	1	0	0	0
1700008J07RIK	1	1	24	0	0.0593018637576004
1700008K24RIK	1	1	28	4	0.058775988444432
1700008O03RIK	1	0.247873827561328	24	6	0.182100855805581
1700008P02RIK	1	1	0	0	0
1700009C05RIK	1	0.96845441017316	28	24	0.0390657404722475
1700009J07RIK	1	0.96845441017316	28	20	0.030592373847272
1700009N14RIK	1	1	0	0	0
1700010B08RIK	1	1	28	4	0.0421369173549751
1700010D01RIK	1	1	0	0	0
1700010I02RIK	1	1	0	0	0
1700010I14RIK	1	1	28	20	0.0889031213850223
1700010J16RIK	1	1	0	0	0
1700010K23RIK	1	0.0968455387205387	20	0	0.435613132549973
1700011A15RIK	1	1	0	0	0
1700011B04RIK	1	1	0	0	0
1700011C11RIK	1	1	0	0	0
1700011E24RIK	1	1	20	10	0.0295115964875674
1700011H14RIK	1	1	28	0	0.0287272029351972
1700011I03RIK	1	0.805264174482925	28	8	0.165724439529996
1700011L22RIK	1	1	0	0	0
1700011M02RIK	1	1	0	0	0
1700012A03RIK	1	1	0	0	0
1700012B07RIK	1	1	0	0	0
1700012B09RIK	1	1	28	4	1.66556527434757
1700012C14RIK	1	0.247873827561328	24	10	0.0834294785025353
1700012D01RIK	1	1	28	12	0.136312863296627
1700012D14RIK	1	1	20	14	0.11605248624868
1700012D16RIK	1	1	0	0	0
1700012H19RIK	1	1	0	0	0
1700012I11RIK	1	1	0	0	0
1700012L04RIK	1	1	20	4	0.0135014968799759
1700012P22RIK	1	0.558904371091871	0	0	0
1700013D24RIK	1	1	0	0	0
1700013F07RIK	1	1	28	4	0.498984042279911
1700013G24RIK	1	1	0	0	0
1700013H16RIK	1	1	20	8	0.0178121612394454
1700015E13RIK	1	0.558904371091871	24	2	0.0522389276737186
1700015F17RIK	1	1	20	14	0.122062611046053
1700015G11RIK	1	1	0	0	0
1700016C15RIK	1	1	28	8	0.0843137862430872
1700016D06RIK	1	1	28	10	0.034752601239044
1700016G22RIK	1	1	0	0	0
1700016H13RIK	1	1	0	0	0
1700016K19RIK	1	0.377646329365079	20	6	0.444183266737954
1700016L04RIK	1	0.682084272787398	20	16	0.0355548845929782
1700016L21RIK	1	1	0	0	0
1700016P04RIK	1	1	0	0	0
1700017B05RIK	1	1	20	8	0.199743523549576
1700017D01RIK	1	1	0	0	0
1700017G19RIK	1	1	0	0	0
1700017J07RIK	1	1	20	16	0.0622560144680416
1700017L05RIK	1	1	0	0	0
1700017N19RIK	1	1	28	0	0.0191229250797309
1700018A04RIK	1	1	28	20	0.0239615860727123
1700018B08RIK	1	1	0	0	0
1700018B24RIK	1	1	0	0	0
1700018C11RIK	1	1	0	0	0
1700018F24RIK	1	1	20	2	0.022965626171411
1700018G05RIK	1	1	20	14	0.0798521545858344
1700018L02RIK	1	1	20	18	0.342345748111467
1700019A02RIK	1	0.682084272787398	0	0	0
1700019B03RIK	0.828231080489939	0.00432043650793651	20	6	0.025217054162709
1700019B21RIK	1	1	0	0	0
1700019C18RIK	1	1	0	0	0
1700019D03RIK	1	0.247873827561328	24	14	0.580354355124953
1700019E08RIK	1	1	0	0	0
1700019G17RIK	1	0.0324589646464646	24	0	1.44799912437819
1700019G24RIK	1	0.558904371091871	24	4	0.22933983142953
1700019L03RIK	1	0.377646329365079	20	6	0.154021999078054
1700019M22RIK	1	1	0	0	0
1700019N19RIK	1	0.247873827561328	28	16	0.0503901793166368
1700019O17RIK	1	0.247873827561328	24	6	0.00846251253588436
1700020A23RIK	1	1	28	12	0.119796263101672
1700020D05RIK	1	1	20	16	0.0968319097224671
1700020D14RIK	1	1	0	0	0
1700020G17RIK	1	1	0	0	0
1700020I14RIK	1	1	20	16	3.12152995661583
1700020L24RIK	1	1	20	8	0.281845691913146
1700020M21RIK	1	1	0	0	0
1700020N01RIK	1	0.558904371091871	24	14	0.0108602762755489
1700020N15RIK	1	1	0	0	0
1700020N18RIK	1	0.682084272787398	20	14	0.109100212376054
1700021F05RIK	1	0.247873827561328	24	8	1.48616167735883
1700021F07RIK	1	1	28	12	0.0295381483472009
1700021K19RIK	1	0.0572696458633959	24	18	1.09092434201461
1700021N21RIK	1	0.377646329365079	28	2	0.0625147801946168
1700022A21RIK	1	1	0	0	0
1700022A22RIK	1	1	0	0	0
1700022E09RIK	1	1	0	0	0
1700022H01RIK	1	1	28	10	0.222628327415897
1700022H16RIK	1	1	0	0	0
1700022I11RIK	1	1	28	26	0.00920221693968361
1700023C21RIK	1	1	0	0	0
1700023F02RIK	1	1	0	0	0
1700023F06RIK	0.828231080489939	0.00193362193362193	24	6	0.574591434858282
1700024B18RIK	1	1	0	0	0
1700024F13RIK	1	0.805264174482925	20	4	0.16537247712966
1700024G13RIK	1	1	28	6	1.29611612331322
1700024I08RIK	1	1	0	0	0
1700024N05RIK	1	1	0	0	0
1700024P04RIK	1	1	0	0	0
1700024P16RIK	1	1	28	26	0.051173070267097
1700025B11RIK	1	1	0	0	0
1700025C18RIK	1	1	0	0	0
1700025F22RIK	1	1	0	0	0
1700025F24RIK	1	0.247873827561328	24	8	0.0385857210338391
1700025G04RIK	1	1	24	18	0.686413301235123
1700025J12RIK	1	1	0	0	0
1700025K24RIK	1	1	0	0	0
1700025M24RIK	1	1	0	0	0
1700025N23RIK	1	1	0	0	0
1700026D08RIK	1	0.558904371091871	24	4	0.660948618277642
1700026D11RIK	1	1	0	0	0
1700026F02RIK	1	1	0	0	0
1700026J14RIK	1	1	20	6	0.163417326879679
1700026L06RIK	1	1	28	2	0.301118594341167
1700027A15RIK	1	1	0	0	0
1700027F06RIK	1	1	0	0	0
1700027F09RIK	1	1	0	0	0
1700027H10RIK	1	1	20	18	0.526433927525573
1700027I24RIK	1	1	0	0	0
1700027J07RIK	1	1	20	10	0.0150613744392735
1700028B04RIK	1	1	20	10	0.0530501205730958
1700028D13RIK	1	1	0	0	0
1700028E10RIK	1	1	20	10	0.0419434529396424
1700028I16RIK	1	1	20	6	0.0246805722478228
1700028J19RIK	1	0.377646329365079	20	10	0.159971595534957
1700028K03RIK	1	1	28	2	0.139179120634167
1700028M03RIK	1	1	0	0	0
1700028P14RIK	1	0.805264174482925	24	22	0.315915864397667
1700028P15RIK	1	1	0	0	0
1700029B22RIK	1	1	0	0	0
1700029F12RIK	1	1	0	0	0
1700029H14RIK	1	1	28	24	0.0236944764861191
1700029I15RIK	1	0.377646329365079	20	4	0.46626621151441
1700029J03RIK	1	1	0	0	0
1700029J07RIK	1	1	24	0	0.229279373799738
1700029M20RIK	1	1	28	18	0.00568746490204995
1700029N11RIK	1	1	0	0	0
1700029P11RIK	1	1	24	0	0.0181255156095282
1700030A11RIK	1	1	28	18	0.0294474795801833
1700030C10RIK	1	1	20	12	0.126625853947762
1700030F04RIK	1	1	0	0	0
1700030F18RIK	1	0.805264174482925	0	0	0
1700030J22RIK	1	0.247873827561328	24	20	0.196685286720944
1700030K09RIK	1	0.558904371091871	20	4	0.231782531805138
1700030L20RIK	1	1	20	0	0.0998173145526366
1700030M09RIK	1	1	0	0	0
1700030N03RIK	1	1	0	0	0
1700030O20RIK	1	1	0	0	0
1700031A10RIK	1	1	0	0	0
1700031F05RIK	1	1	0	0	0
1700031M16RIK	1	1	0	0	0
1700031P21RIK	1	1	0	0	0
1700034E13RIK	1	1	0	0	0
1700034G24RIK	1	0.0572696458633959	28	2	0.0465536477316225
1700034H15RIK	1	1	28	20	0.0694734180282736
1700034I23RIK	1	1	28	20	0.0253720696468146
1700034J05RIK	1	1	0	0	0
1700034K08RIK	1	1	0	0	0
1700034O15RIK	1	1	0	0	0
1700034P13RIK	1	0.247873827561328	24	18	1.05136348537417
1700036G14RIK	1	1	0	0	0
1700037C18RIK	1	0.0324589646464646	28	4	0.613247194818798
1700037H04RIK	1	1	20	6	3.83244804335297
1700039E15RIK	1	1	0	0	0
1700039E22RIK	1	1	0	0	0
1700040L02RIK	1	0.0968455387205387	28	2	0.378341018807768
1700041A01RIK	1	1	0	0	0
1700041C23RIK	1	1	0	0	0
1700041M19RIK	1	1	0	0	0
1700042G07RIK	1	1	0	0	0
1700042G15RIK	1	1	0	0	0
1700042O10RIK	1	1	28	2	0.037692397681827
1700044C05RIK	1	1	0	0	0
1700044K03RIK	1	1	0	0	0
1700045H11RIK	1	1	0	0	0
1700046C09RIK	1	1	0	0	0
1700047A11RIK	1	1	0	0	0
1700047E10RIK	1	1	20	6	0.0404971367294035
1700047G03RIK	1	1	0	0	0
1700047I17RIK2	1	0.0968455387205387	24	12	0.515364170866098
1700047L14RIK	1	1	0	0	0
1700047M11RIK	1	0.377646329365079	24	6	1.33622145217517
1700048M11RIK	1	1	28	20	0.167328688039813
1700048O20RIK	1	0.558904371091871	24	10	1.04733120895446
1700049E15RIK	1	1	0	0	0
1700049E22RIK	1	1	0	0	0
1700049G17RIK	1	1	28	20	0.226496908615769
1700049L16RIK	1	1	0	0	0
1700051A21RIK	1	1	28	12	0.0445203975376596
1700052I22RIK	1	1	0	0	0
1700052K11RIK	1	0.805264174482925	24	6	0.211555742329297
1700054A03RIK	1	1	28	18	0.0309939751436469
1700054K19RIK	1	1	0	0	0
1700054M17RIK	1	1	20	6	0.089488747221201
1700055C04RIK	1	1	0	0	0
1700056E22RIK	1	0.247873827561328	20	10	0.0712353513502952
1700057G04RIK	1	1	0	0	0
1700057H15RIK	1	1	0	0	0
1700057H21RIK	1	1	0	0	0
1700060C16RIK	1	1	0	0	0
1700060C20RIK	1	1	28	14	0.0642080180928461
1700061F12RIK	1	1	0	0	0
1700061G19RIK	1	1	28	24	0.0500821282474129
1700061I17RIK	1	1	20	18	0.00729691771777646
1700061J23RIK	1	1	0	0	0
1700063A18RIK	1	1	0	0	0
1700063D05RIK	1	1	28	12	0.32713941678205
1700063O14RIK	1	1	0	0	0
1700064J06RIK	1	1	0	0	0
1700064M15RIK	1	0.377646329365079	28	18	0.0692395071050571
1700065D16RIK	1	0.805264174482925	20	8	0.0678958981547855
1700065I16RIK	1	1	0	0	0
1700065J11RIK	1	1	0	0	0
1700065J18RIK	1	1	20	0	0.297453659894277
1700065L07RIK	1	1	0	0	0
1700065O20RIK	1	1	0	0	0
1700066B17RIK	1	1	0	0	0
1700066B19RIK	1	1	28	4	0.0092984541726031
1700066J03RIK	1	1	24	10	0.0959002965382537
1700066M21RIK	1	0.247873827561328	28	10	1.02181879628924
1700066N21RIK	1	1	0	0	0
1700066O22RIK	1	1	0	0	0
1700067G17RIK	1	1	0	0	0
1700067K01RIK	1	1	28	6	0.0785836050203858
1700067P10RIK	1	1	0	0	0
1700069L16RIK	1	1	20	0	0.0328806067465307
1700069P05RIK	1	1	0	0	0
1700071K01RIK	1	1	24	0	0.00755458742884084
1700071M16RIK	1	1	28	12	0.787805342589463
1700072B07RIK	1	1	0	0	0
1700072I22RIK	1	1	0	0	0
1700072O05RIK	1	1	0	0	0
1700073E17RIK	1	1	28	2	0.0150913557667958
1700074H08RIK	1	1	0	0	0
1700074P13RIK	1	1	0	0	0
1700080E11RIK	1	1	0	0	0
1700080N15RIK	1	1	20	6	0.0649759714125537
1700080O16RIK	1	1	0	0	0
1700081H04RIK	1	1	0	0	0
1700084C01RIK	1	0.805264174482925	28	24	2.9380286758301
1700084D21RIK	1	1	0	0	0
1700084E18RIK	1	1	28	24	0.336400747848641
1700084F23RIK	1	1	0	0	0
1700084J12RIK	1	1	0	0	0
1700084M14RIK	1	1	0	0	0
1700085C21RIK	1	1	0	0	0
1700086L19RIK	1	1	20	14	2.15978695245619
1700086O06RIK	1	1	20	10	0.180566787643797
1700088E04RIK	1	0.805264174482925	28	0	0.862210653639817
1700091H14RIK	1	1	28	22	0.0748200291775204
1700092C02RIK	1	1	0	0	0
1700092C10RIK	1	1	0	0	0
1700092E19RIK	1	1	0	0	0
1700092K14RIK	1	1	0	0	0
1700092M07RIK	1	1	20	12	0.066504099877376
1700093K21RIK	1	1	20	12	0.0397323300348721
1700094D03RIK	1	0.805264174482925	28	0	1.43640964423454
1700094J05RIK	1	1	20	8	0.0948767594724862
1700094M24RIK	1	1	0	0	0
1700095A21RIK	1	1	0	0	0
1700095B10RIK	1	1	28	20	0.0823116487474966
1700095J12RIK	1	1	0	0	0
1700096J18RIK	1	1	20	12	0.18392978749512
1700096K18RIK	1	0.247873827561328	24	6	0.158844467325746
1700096P03RIK	1	1	0	0	0
1700097N02RIK	1	1	24	12	0.0230098203452352
1700099I09RIK	1	1	28	20	0.0962697598314238
1700100I10RIK	1	1	0	0	0
1700100L14RIK	1	1	0	0	0
1700101E01RIK	1	0.247873827561328	20	6	0.165910585390143
1700101I11RIK	1	0.558904371091871	24	6	0.313765729452774
1700101O22RIK	1	1	0	0	0
1700102H20RIK	1	1	28	6	0.326959104552848
1700102P08RIK	0.321122159090909	2.63798701298701e-05	28	22	0.372927409291004
1700104L18RIK	1	1	0	0	0
1700105P06RIK	1	1	28	16	0.1744929171701
1700106J16RIK	1	1	28	8	0.0285801600800494
1700108F19RIK	1	1	24	10	0.0083184925622262
1700108J01RIK	1	1	0	0	0
1700109G14RIK	1	0.15763918951419	20	2	0.0245937395350931
1700109G15RIK	1	1	0	0	0
1700109H08RIK	1	1	24	18	0.066818762395004
1700109I08RIK	1	1	0	0	0
1700109K24RIK	1	1	24	18	0.147092352622426
1700110C19RIK	1	0.805264174482925	20	4	0.132745156032151
1700110I01RIK	1	1	24	0	0.022215615686276
1700110I07RIK	1	1	0	0	0
1700110K17RIK	1	1	28	4	0.102492829835951
1700111N16RIK	1	1	0	0	0
1700112E06RIK	1	0.377646329365079	20	14	0.0439806275762409
1700112H15RIK	1	1	0	0	0
1700112J05RIK	1	1	0	0	0
1700112J16RIK	1	0.558904371091871	24	18	0.674806143421946
1700113A16RIK	1	1	24	6	1.32992643405566
1700113B09RIK	1	1	0	0	0
1700113H08RIK	1	1	20	6	0.0290920700342894
1700116B05RIK	1	1	0	0	0
1700119H24RIK	1	1	0	0	0
1700120C14RIK	1	1	28	2	0.380231822340661
1700120E14RIK	1	1	0	0	0
1700120G07RIK	1	1	0	0	0
1700120K04RIK	1	1	28	2	0.0862923063721862
1700121L16RIK	1	1	0	0	0
1700121N20RIK	1	1	0	0	0
1700122C19RIK	1	1	0	0	0
1700122O11RIK	1	1	0	0	0
1700123I01RIK	1	1	20	16	0.0156694862710939
1700123J17RIK	1	1	28	14	0.00878053734625692
1700123K08RIK	1	1	20	6	0.018913833604534
1700123L14RIK	1	1	28	26	0.0218290404090013
1700123M08RIK	1	0.0572696458633959	20	0	0.0927016990135564
1700123O12RIK	1	1	0	0	0
1700123O20RIK	1	1	28	18	0.327252553867041
1700123O21RIK	1	1	0	0	0
1700124L16RIK	1	1	20	10	0.712551503401684
1700125G02RIK	1	1	20	16	0.104062783666881
1700125G22RIK	1	1	28	18	0.0789051618291304
1700125H03RIK	1	1	24	22	0.0384624369665392
1700125H20RIK	1	1	28	10	0.0395832365700589
1700126H18RIK	1	1	0	0	0
1700128A07RIK	1	1	0	0	0
1700128F08RIK	1	1	0	0	0
1700129C05RIK	1	1	0	0	0
1810006J02RIK	1	1	0	0	0
1810007C17RIK	1	1	20	16	0.0478016912004168
1810007D17RIK	1	1	0	0	0
1810008I18RIK	1	1	28	0	0.195748370235872
1810009A15RIK	1	0.377646329365079	0	0	0
1810009J06RIK	1	1	0	0	0
1810010D01RIK	1	0.558904371091871	28	26	0.0825655000819425
1810010H24RIK	1	1	28	6	0.849928208850606
1810011H11RIK	1	1	28	18	0.0377840740760079
1810011O10RIK	1	0.247873827561328	24	16	0.160688601811081
1810012K16RIK	1	1	24	16	0.0431939712821709
1810013A23RIK	1	1	0	0	0
1810013L24RIK	1	1	24	12	0.536234427512818
1810014B01RIK	1	1	28	6	0.558810579269152
1810018F18RIK	1	1	0	0	0
1810019D21RIK	1	0.247873827561328	20	0	0.0246696828033925
1810020O05RIK	1	1	20	12	0.128490494529751
1810021B22RIK	1	1	20	8	0.222356798411922
1810022K09RIK	1	0.0324589646464646	20	12	14.0263822436507
1810024B03RIK	1	1	28	0	0.0353417626091286
1810026B05RIK	1	0.247873827561328	20	10	0.181273894424983
1810026J23RIK	1	1	20	0	1.02247640559575
1810030O07RIK	1	1	28	0	0.371909882632876
1810032O08RIK	1	1	28	8	0.264510969172358
1810034E14RIK	1	1	20	0	0.0691451437051077
1810037I17RIK	1	1	28	6	6.41688797325074
1810041H14RIK	1	1	28	18	0.798532152460062
1810041L15RIK	1	1	24	22	1.41698895648925
1810043G02RIK	1	1	20	10	1.30708688502333
1810043H04RIK	1	0.0968455387205387	28	0	4.53603696830311
1810044D09RIK	1	0.558904371091871	28	2	0.21814244199605
1810046K07RIK	1	1	28	0	0.0157549047702612
1810053B23RIK	1	1	0	0	0
1810055G02RIK	1	0.377646329365079	20	14	0.337445498117845
1810058I24RIK	1	0.377646329365079	24	4	1.44935676939807
1810062G17RIK	1	1	20	16	0.0762947003696849
1810062O18RIK	1	0.15763918951419	28	6	0.20673610250873
1810063I02RIK	1	1	0	0	0
1810064F22RIK	1	0.247873827561328	28	0	0.0266550972236081
1810065E05RIK	1	1	0	0	0
2010001A14RIK	1	1	28	6	1.01393985897987
2010001E11RIK	1	0.558904371091871	24	22	0.0466970489868471
2010003K11RIK	1	1	28	0	0.0465339548077665
2010005H15RIK	1	0.558904371091871	20	10	0.720555952164716
2010009K17RIK	1	1	24	18	0.0401668471519112
2010010A06RIK	1	0.805264174482925	28	8	0.0316460690172571
2010012O05RIK	1	0.0968455387205387	24	10	0.945210847615494
2010016I18RIK	1	1	20	0	0.0232103558283797
2010106C02RIK	1	1	0	0	0
2010106E10RIK	1	1	20	6	0.0121476702367162
2010107E04RIK	1	1	28	6	40.4097383312489
2010107G12RIK	1	1	28	26	0.0608794189864276
2010107G23RIK	1	0.0572696458633959	24	8	0.578766900401188
2010109A12RIK	1	1	28	26	0.0620303059834868
2010109I03RIK	1	1	20	10	0.0304948284668073
2010111I01RIK	1	1	20	8	0.371110851970135
2010204K13RIK	1	0.558904371091871	24	6	7.82606339980788
2010300C02RIK	1	0.247873827561328	28	22	3.09042786484534
2010308F09RIK	1	1	28	6	0.292170511578641
2010310C07RIK	1	1	0	0	0
2010315B03RIK	1	0.558904371091871	20	4	0.222413366954416
2010320M18RIK	0.828231080489939	0.00432043650793651	24	6	1.63642717166183
2200002D01RIK	1	1	28	6	0.214340682387
2200002J24RIK	1	1	0	0	0
2210010C04RIK	1	1	0	0	0
2210011C24RIK	1	0.0968455387205387	24	8	0.111376035551303
2210013O21RIK	1	1	28	6	3.85677251662579
2210015D19RIK	1	0.377646329365079	28	0	0.302974042535
2210016F16RIK	1	0.247873827561328	24	4	0.419756262981864
2210016L21RIK	1	1	20	10	6.07623928141412
2210018M11RIK	1	0.247873827561328	24	18	0.495068438479091
2210019I11RIK	1	1	0	0	0
2210039B01RIK	1	0.805264174482925	28	26	0.417819143954804
2210404E10RIK	1	1	0	0	0
2210404O09RIK	1	0.805264174482925	20	10	0.202494168928392
2210406O10RIK	1	0.377646329365079	28	6	0.152247161057275
2210407C18RIK	1	0.377646329365079	20	12	0.0349969066319439
2210408F21RIK	1	1	24	22	0.466124790158172
2210408I21RIK	1	0.247873827561328	28	10	0.191201673632842
2210409D07RIK	1	0.127242364117364	28	4	0.060094813302023
2210409E12RIK	1	1	0	0	0
2210414B05RIK	1	1	0	0	0
2210416O15RIK	1	0.377646329365079	28	24	0.470864173359075
2210417A02RIK	1	1	0	0	0
2210420H20RIK	1	1	20	8	0.038070204835015
2300002M23RIK	1	1	28	22	0.0188918072283
2300003K06RIK	1	1	0	0	0
2300005B03RIK	1	1	0	0	0
2300009A05RIK	1	1	20	6	1.18023192847847
2310001H17RIK	1	0.377646329365079	28	2	0.0429816624711196
2310001K24RIK	1	0.247873827561328	20	0	0.0582407086110738
2310002D06RIK	1	0.15763918951419	24	0	0.334341299348435
2310002F09RIK	1	0.558904371091871	20	2	0.010884777525517
2310002L09RIK	1	1	0	0	0
2310003N18RIK	1	0.96845441017316	28	12	0.0557333433203253
2310005A03RIK	1	1	24	22	0.00902812725015548
2310005E17RIK	1	0.682084272787398	28	26	0.0323024055315545
2310007B03RIK	1	1	28	6	0.0113530413136883
2310008N11RIK	1	1	0	0	0
2310009A05RIK	1	0.558904371091871	20	10	0.913864804005495
2310009B15RIK	1	0.558904371091871	24	6	1.82889633419995
2310010G23RIK	1	0.805264174482925	20	10	0.25237913812754
2310010J17RIK	1	1	28	24	0.892960959786667
2310011J03RIK	1	1	24	6	1.12421139373896
2310015A10RIK	1	1	24	10	0.233023504206121
2310015D24RIK	1	1	28	12	0.0132239539328263
2310016D03RIK	1	1	28	0	0.0092963682075986
2310020H05RIK	1	0.96845441017316	28	20	0.0576625427514366
2310022A10RIK	1	1	28	10	0.550362421000925
2310022B05RIK	1	0.0968455387205387	24	6	10.5931666889557
2310030A07RIK	1	1	0	0	0
